study_hours,attendance,previous_grade,assignments_completed,sleep_hours,extracurricular_hours,final_grade
2,72,58,60,5.5,8,56
3,78,62,70,6.0,6,63
4,85,68,80,6.5,5,70
5,88,72,85,7.0,4,76
6,92,78,92,7.5,3,83
7,95,84,96,8.0,2,90
8,97,89,98,8.0,2,95
1,65,52,55,5.0,10,50
2.5,75,60,65,6.0,7,59
3.5,82,66,75,6.5,5,67
4.5,86,70,88,7.0,4,74
5.5,90,76,91,7.5,3,81
6.5,94,82,95,8.0,2,88
7.5,96,87,97,8.0,1,93
9,98,92,99,8.5,1,98
1.5,70,55,58,5.5,9,53
2.8,80,64,72,6.0,6,62
4.2,84,69,82,6.8,5,71
5.8,91,77,93,7.2,3,84
7.2,93,85,97,8.2,2,91
3.2,79,61,68,6.2,7,64
4.8,87,73,86,7.0,4,77
6.2,89,79,94,7.5,3,85
8.5,96,90,99,8.3,1,96
2.2,74,57,62,5.8,8,57
3.8,83,67,78,6.6,5,69
5.2,88,74,89,7.1,4,79
6.8,92,81,96,7.8,2,87
7.8,95,86,98,8.1,2,93
9.5,99,94,100,8.7,0,100
